engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
scirust,0.1.0,1,100,23063,3920510,13523,3951509,39205.100,135.230,39515.090,1664,2176,2176,4.15698654026052300e-5
scirust,0.1.0,1,100,23064,3928747,13344,3959704,39287.470,133.440,39597.040,1664,2176,2176,1.39923884512492155e-6
scirust,0.1.0,1,100,23065,3865241,13504,3896083,38652.410,135.040,38960.830,1664,2176,2176,1.51886073931617178e-5
scirust,0.1.0,1,100,23066,3905643,13605,3936575,39056.430,136.050,39365.750,1664,2176,2176,7.26365612224539591e-6
scirust,0.1.0,1,100,23067,3934254,13665,3965445,39342.540,136.650,39654.450,1664,2176,2176,4.60938651753929283e-7
scirust,0.1.0,5,100,23063,23177631,13192,23209100,231776.310,131.920,232091.000,1664,2176,2176,2.03509326901752896e0
scirust,0.1.0,5,100,23064,19165380,12810,19195998,191653.800,128.100,191959.980,1664,2176,2176,6.12111605238651046e-1
scirust,0.1.0,5,100,23065,25019939,15367,25054522,250199.390,153.670,250545.220,1664,2176,2176,1.12723961043788123e0
scirust,0.1.0,5,100,23066,26272123,13719,26304081,262721.230,137.190,263040.810,1664,2176,2176,8.30590382459588161e-1
scirust,0.1.0,5,100,23067,20323817,15430,20357122,203238.170,154.300,203571.220,1664,2176,2176,6.07512961000935325e-1
scirust,0.1.0,10,100,23063,43504805,19926,43542574,435048.050,199.260,435425.740,1664,2304,2304,4.10021177760758171e0
scirust,0.1.0,10,100,23064,40308389,19193,40346057,403083.890,191.930,403460.570,1664,2304,2304,1.46199703512758070e1
scirust,0.1.0,10,100,23065,43155035,25346,43198964,431550.350,253.460,431989.640,1664,2304,2304,9.68365361607556352e0
scirust,0.1.0,10,100,23066,39668805,20657,39707558,396688.050,206.570,397075.580,1664,2304,2304,1.38257038154901437e1
scirust,0.1.0,10,100,23067,43866471,26395,43911808,438664.710,263.950,439118.080,1664,2304,2304,1.27957067319453994e1
scirust,0.1.0,1,1000,23063,214642404,185787,215000084,214642.404,185.787,215000.084,1664,2560,2560,3.33972399234947232e-7
scirust,0.1.0,1,1000,23064,208131279,167042,208470946,208131.279,167.042,208470.946,1664,2560,2560,5.19462039072587976e-7
scirust,0.1.0,1,1000,23065,212074288,178082,212422584,212074.288,178.082,212422.584,1664,2560,2560,1.58931497110345680e-8
scirust,0.1.0,1,1000,23066,206036222,169451,206376001,206036.222,169.451,206376.001,1664,2560,2560,3.99002858629785729e-7
scirust,0.1.0,1,1000,23067,206467950,165155,206804390,206467.950,165.155,206804.390,1664,2560,2560,8.31540189637727693e-10
scirust,0.1.0,5,1000,23063,1005166695,48778785,1054125643,1005166.695,48778.785,1054125.643,1664,2944,2944,6.25484127192758588e-2
scirust,0.1.0,5,1000,23064,1006965188,202515,1007348348,1006965.188,202.515,1007348.348,1664,2944,2944,5.80340767935634688e-2
scirust,0.1.0,5,1000,23065,1070925589,249297,1071359090,1070925.589,249.297,1071359.090,1664,2944,2944,3.68878798946022518e-2
scirust,0.1.0,5,1000,23066,1024091996,206472,1024479945,1024091.996,206.472,1024479.945,1664,2944,2944,3.78086796623756521e-2
scirust,0.1.0,5,1000,23067,992890721,191712,993262959,992890.721,191.712,993262.959,1664,2944,2944,4.38409072488323281e-2
scirust,0.1.0,10,1000,23063,2078004984,245654,2078442568,2078004.984,245.654,2078442.568,1664,3328,3328,6.36649823059222242e-1
scirust,0.1.0,10,1000,23064,2082514245,244454,2082947823,2082514.245,244.454,2082947.823,1664,3456,3456,2.34958559537717271e0
scirust,0.1.0,10,1000,23065,2147529555,291322,2148016834,2147529.555,291.322,2148016.834,1664,3328,3328,4.62131147373417928e-1
scirust,0.1.0,10,1000,23066,2005179950,221229,2005583992,2005179.950,221.229,2005583.992,1664,3328,3328,1.33723773061515527e0
scirust,0.1.0,10,1000,23067,2020021728,268931,2020472745,2020021.728,268.931,2020472.745,1664,3328,3328,2.81281230980101515e0
