engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
optuna,5.0.0,1,100,23063,86492425,5670204,92672191,864924.250,56702.040,926721.910,44048,45840,45840,6.55465956151919589e-06
rustuna,0.1.0,1,100,23063,3160431,147537,3459227,31604.310,1475.370,34592.270,13568,14464,14464,2.14087744583587724e-04
scirust,0.1.0,1,100,23063,4123048,13231,4153640,41230.480,132.310,41536.400,1664,2176,2176,4.15698654026052300e-5
optuna,5.0.0,1,100,23064,75220673,4509119,80135948,752206.730,45091.190,801359.480,44048,45840,45840,3.83198422422790120e-04
rustuna,0.1.0,1,100,23064,3085757,142009,3374106,30857.570,1420.090,33741.060,13568,14464,14464,1.44473117079434274e-07
scirust,0.1.0,1,100,23064,4253792,12843,4283853,42537.920,128.430,42838.530,1664,2176,2176,1.39923884512492155e-6
optuna,5.0.0,1,100,23065,76328647,5244795,82024057,763286.470,52447.950,820240.570,43920,45840,45840,4.79925837811313686e-06
rustuna,0.1.0,1,100,23065,3079414,146504,3382078,30794.140,1465.040,33820.780,13568,14464,14464,2.51816180913746233e-05
scirust,0.1.0,1,100,23065,4055607,13526,4086565,40556.070,135.260,40865.650,1664,2176,2176,1.51886073931617178e-5
optuna,5.0.0,1,100,23066,76579093,5158969,82180615,765790.930,51589.690,821806.150,44048,45840,45840,2.75779163772830575e-06
rustuna,0.1.0,1,100,23066,3135924,144058,3427291,31359.240,1440.580,34272.910,13568,14464,14464,1.07649199154434137e-05
scirust,0.1.0,1,100,23066,4117446,13345,4148131,41174.460,133.450,41481.310,1664,2176,2176,7.26365612224539591e-6
optuna,5.0.0,1,100,23067,84543719,5658273,90733744,845437.190,56582.730,907337.440,43924,45844,45844,4.90103814075354172e-06
rustuna,0.1.0,1,100,23067,3099878,144222,3394791,30998.780,1442.220,33947.910,13568,14464,14464,2.72509727081239990e-06
scirust,0.1.0,1,100,23067,4127749,13318,4158520,41277.490,133.180,41585.200,1664,2176,2176,4.60938651753929283e-7
optuna,5.0.0,5,100,23063,353031811,10922261,364932019,3530318.110,109222.610,3649320.190,44052,45972,45972,1.07664697895971706e+00
rustuna,0.1.0,5,100,23063,13205597,160236,13590443,132055.970,1602.360,135904.430,13568,14592,14592,6.35116603239888722e-01
scirust,0.1.0,5,100,23063,30010437,19103,30048715,300104.370,191.030,300487.150,1664,2176,2176,2.03509326901752896e0
optuna,5.0.0,5,100,23064,321822467,10453741,333208944,3218224.670,104537.410,3332089.440,44044,45964,45964,1.79749276388412804e+00
rustuna,0.1.0,5,100,23064,13209629,157429,13588888,132096.290,1574.290,135888.880,13568,14592,14592,8.77086178926491877e-01
scirust,0.1.0,5,100,23064,22953938,15158,22986796,229539.380,151.580,229867.960,1664,2176,2176,6.12111605238651046e-1
optuna,5.0.0,5,100,23065,330057330,10243458,341223226,3300573.300,102434.580,3412232.260,43924,45972,45972,2.12156287424216750e+00
rustuna,0.1.0,5,100,23065,13217653,159974,13603795,132176.530,1599.740,136037.950,13568,14592,14592,2.59409249632821570e+00
scirust,0.1.0,5,100,23065,20834077,13322,20865171,208340.770,133.220,208651.710,1664,2176,2176,1.12723961043788123e0
optuna,5.0.0,5,100,23066,350543082,10653687,362175493,3505430.820,106536.870,3621754.930,44044,45964,45964,3.03432511225936752e+00
rustuna,0.1.0,5,100,23066,13039461,167673,13442666,130394.610,1676.730,134426.660,13568,14592,14592,4.89620637275261006e-01
scirust,0.1.0,5,100,23066,20645953,12614,20676809,206459.530,126.140,206768.090,1664,2176,2176,8.30590382459588161e-1
optuna,5.0.0,5,100,23067,324564552,10437948,335950186,3245645.520,104379.480,3359501.860,44052,45972,45972,1.30703382437437038e-01
rustuna,0.1.0,5,100,23067,13087604,167559,13505230,130876.040,1675.590,135052.300,13568,14592,14592,1.27562865439133466e+00
scirust,0.1.0,5,100,23067,20395637,11830,20425381,203956.370,118.300,204253.810,1664,2176,2176,6.07512961000935325e-1
optuna,5.0.0,10,100,23063,717177415,17215260,735688401,7171774.150,172152.600,7356884.010,43916,46092,46092,1.13932361531142785e+01
rustuna,0.1.0,10,100,23063,28001454,201025,28519332,280014.540,2010.250,285193.320,13568,14720,14720,1.63558616570483082e+01
scirust,0.1.0,10,100,23063,44066495,23828,44108774,440664.950,238.280,441087.740,1664,2304,2304,4.10021177760758171e0
optuna,5.0.0,10,100,23064,729769614,17432107,748505676,7297696.140,174321.070,7485056.760,43920,46096,46096,1.13277076686244023e+01
rustuna,0.1.0,10,100,23064,25744601,185650,26238860,257446.010,1856.500,262388.600,13568,14720,14720,7.23217356392121857e+00
scirust,0.1.0,10,100,23064,41822385,14661,41854870,418223.850,146.610,418548.700,1664,2304,2304,1.46199703512758070e1
optuna,5.0.0,10,100,23065,698222416,16578502,716049568,6982224.160,165785.020,7160495.680,44044,46092,46092,1.98451948657590371e+01
rustuna,0.1.0,10,100,23065,25552015,186601,26049056,255520.150,1866.010,260490.560,13568,14720,14720,9.13754717545377204e+00
scirust,0.1.0,10,100,23065,47521323,17876,47557281,475213.230,178.760,475572.810,1664,2304,2304,9.68365361607556352e0
optuna,5.0.0,10,100,23066,767184960,17527497,786024406,7671849.600,175274.970,7860244.060,44044,46092,46092,1.72720829651829995e+01
rustuna,0.1.0,10,100,23066,25588409,187231,26084629,255884.090,1872.310,260846.290,13568,14720,14720,1.02889347723628308e+01
scirust,0.1.0,10,100,23066,45534597,15707,45568287,455345.970,157.070,455682.870,1664,2304,2304,1.38257038154901437e1
optuna,5.0.0,10,100,23067,681801653,17051442,700113043,6818016.530,170514.420,7001130.430,44044,46220,46220,1.37533729462194270e+01
rustuna,0.1.0,10,100,23067,25783478,193330,26290483,257834.780,1933.300,262904.830,13568,14720,14720,1.71224235282105575e+01
scirust,0.1.0,10,100,23067,43540070,16234,43574855,435400.700,162.340,435748.550,1664,2304,2304,1.27957067319453994e1
optuna,5.0.0,1,1000,23063,2948251195,85596283,3043005555,2948251.195,85596.283,3043005.555,44048,49628,50180,1.80188918454769574e-07
rustuna,0.1.0,1,1000,23063,168502495,1658754,171749913,168502.495,1658.754,171749.913,13568,15488,15488,5.42570671006284527e-08
scirust,0.1.0,1,1000,23063,243945642,184142,244304135,243945.642,184.142,244304.135,1664,2560,2560,3.33972399234947232e-7
optuna,5.0.0,1,1000,23064,3485338911,87120480,3586807595,3485338.911,87120.480,3586807.595,43924,49636,50192,8.62338332733920262e-08
rustuna,0.1.0,1,1000,23064,165447233,1476388,168583622,165447.233,1476.388,168583.622,13568,15488,15488,1.44473117079434274e-07
scirust,0.1.0,1,1000,23064,219266310,151290,219588292,219266.310,151.290,219588.292,1664,2560,2560,5.19462039072587976e-7
optuna,5.0.0,1,1000,23065,2974387141,82335458,3065438758,2974387.141,82335.458,3065438.758,43916,49640,50196,2.07790914279797776e-08
rustuna,0.1.0,1,1000,23065,161248994,1468963,164135878,161248.994,1468.963,164135.878,13568,15488,15488,4.00984667070211894e-08
scirust,0.1.0,1,1000,23065,214660632,156351,214987149,214660.632,156.351,214987.149,1664,2560,2560,1.58931497110345680e-8
optuna,5.0.0,1,1000,23066,2895521398,79831406,2983391595,2895521.398,79831.406,2983391.595,44048,49640,50152,1.94845925403959848e-07
rustuna,0.1.0,1,1000,23066,177433895,1492877,180360827,177433.895,1492.877,180360.827,13568,15488,15488,6.18887497534061980e-07
scirust,0.1.0,1,1000,23066,218303203,165784,218640290,218303.203,165.784,218640.290,1664,2560,2560,3.99002858629785729e-7
