engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
optuna,5.0.0,1,1000,23063,2948251195,85596283,3043005555,2948251.195,85596.283,3043005.555,44048,49628,50180,1.80188918454769574e-07
optuna,5.0.0,5,1000,23063,15204981704,147859861,15366647460,15204981.704,147859.861,15366647.460,44052,50556,51140,2.41662034350676146e-02
optuna,5.0.0,10,1000,23063,36630473090,215619291,36864916163,36630473.090,215619.291,36864916.163,43920,51948,52512,1.85132043612493624e+00
optuna,5.0.0,1,1000,23064,3485338911,87120480,3586807595,3485338.911,87120.480,3586807.595,43924,49636,50192,8.62338332733920262e-08
optuna,5.0.0,5,1000,23064,21299286660,208819943,21528250331,21299286.660,208819.943,21528250.331,44048,50672,51076,3.85989474219173359e-02
optuna,5.0.0,10,1000,23064,39098710929,218566412,39335675170,39098710.929,218566.412,39335675.170,43916,51988,52552,1.22673955058365847e+00
optuna,5.0.0,1,1000,23065,2974387141,82335458,3065438758,2974387.141,82335.458,3065438.758,43916,49640,50196,2.07790914279797776e-08
optuna,5.0.0,5,1000,23065,16432423003,145082208,16591487669,16432423.003,145082.208,16591487.669,44048,50540,51100,1.66404819395634881e-02
optuna,5.0.0,10,1000,23065,56364893674,258235321,56649558055,56364893.674,258235.321,56649558.055,44048,52012,52496,4.67550657434386263e+00
optuna,5.0.0,1,1000,23066,2895521398,79831406,2983391595,2895521.398,79831.406,2983391.595,44048,49640,50152,1.94845925403959848e-07
optuna,5.0.0,5,1000,23066,16326256336,165077619,16505783361,16326256.336,165077.619,16505783.361,44044,50632,51144,1.74572899566174528e-02
optuna,5.0.0,10,1000,23066,38549744035,214640347,38786386245,38549744.035,214640.347,38786386.245,44048,51968,52532,2.41404429951321875e+00
optuna,5.0.0,1,1000,23067,3148873010,85909343,3244183764,3148873.010,85909.343,3244183.764,44048,49668,50096,5.05449254288838245e-07
optuna,5.0.0,5,1000,23067,22609748049,211052307,22839085188,22609748.049,211052.307,22839085.188,44048,50660,51148,2.95040219081771429e-02
optuna,5.0.0,10,1000,23067,47275290138,309412987,47603066295,47275290.138,309412.987,47603066.295,44048,51952,52520,2.62127318450289648e+00
