engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
scirust,0.1.0,1,1000,23063,220879651,175048,221226554,220879.651,175.048,221226.554,1664,2560,2560,3.33972399234947232e-7
rustuna,0.1.0,1,1000,23063,162690242,1665712,165838811,162690.242,1665.712,165838.811,13568,15488,15488,5.42570671006284527e-08
rustuna,0.1.0,5,1000,23063,762384339,2077630,767804727,762384.339,2077.630,767804.727,13568,16256,16256,4.57620385782172082e-02
scirust,0.1.0,5,1000,23063,1072850096,201352,1073228726,1072850.096,201.352,1073228.726,1664,2944,2944,6.25484127192758588e-2
scirust,0.1.0,10,1000,23063,2191971863,274141,2192436328,2191971.863,274.141,2192436.328,1664,3328,3328,6.36649823059222242e-1
rustuna,0.1.0,10,1000,23063,1598603115,3506740,1608907770,1598603.115,3506.740,1608907.770,13568,17408,17408,2.62496059293436401e+00
rustuna,0.1.0,1,1000,23064,166310424,1548325,169477986,166310.424,1548.325,169477.986,13568,15488,15488,1.44473117079434274e-07
scirust,0.1.0,1,1000,23064,219850067,155479,220177346,219850.067,155.479,220177.346,1664,2560,2560,5.19462039072587976e-7
scirust,0.1.0,5,1000,23064,1091038124,200770,1091418993,1091038.124,200.770,1091418.993,1664,2944,2944,5.80340767935634688e-2
rustuna,0.1.0,5,1000,23064,785941403,2135025,791690260,785941.403,2135.025,791690.260,13568,16256,16256,3.44082662297190076e-02
rustuna,0.1.0,10,1000,23064,1575449385,3283528,1585399754,1575449.385,3283.528,1585399.754,13568,17408,17408,1.17439252838140118e+00
scirust,0.1.0,10,1000,23064,2150924459,209296,2151320762,2150924.459,209.296,2151320.762,1664,3328,3328,2.34958559537717271e0
scirust,0.1.0,1,1000,23065,217887047,155520,218213532,217887.047,155.520,218213.532,1664,2560,2560,1.58931497110345680e-8
rustuna,0.1.0,1,1000,23065,171327467,1688752,174721565,171327.467,1688.752,174721.565,13568,15488,15488,4.00984667070211894e-08
rustuna,0.1.0,5,1000,23065,771434513,2389472,777678004,771434.513,2389.472,777678.004,13568,16256,16256,1.27864790984060575e-02
scirust,0.1.0,5,1000,23065,1088776303,207256,1090531077,1088776.303,207.256,1090531.077,1664,2944,2944,3.68878798946022518e-2
scirust,0.1.0,10,1000,23065,2169389861,258537,2169863114,2169389.861,258.537,2169863.114,1664,3328,3328,4.62131147373417928e-1
rustuna,0.1.0,10,1000,23065,1593537899,3471852,1603657687,1593537.899,3471.852,1603657.687,13568,17408,17408,2.94776934662547996e+00
rustuna,0.1.0,1,1000,23066,166366407,1553811,169578072,166366.407,1553.811,169578.072,13568,15488,15488,6.18887497534061980e-07
scirust,0.1.0,1,1000,23066,221048125,570877,221792648,221048.125,570.877,221792.648,1664,2560,2560,3.99002858629785729e-7
scirust,0.1.0,5,1000,23066,1097515039,230102,1097926133,1097515.039,230.102,1097926.133,1664,2944,2944,3.78086796623756521e-2
rustuna,0.1.0,5,1000,23066,767385522,2251084,773184623,767385.522,2251.084,773184.623,13568,16256,16256,2.21322096666538189e-02
rustuna,0.1.0,10,1000,23066,1600231978,3652634,1610686770,1600231.978,3652.634,1610686.770,13568,17408,17408,1.28907288532299358e+00
scirust,0.1.0,10,1000,23066,2183241924,270836,2183706191,2183241.924,270.836,2183706.191,1664,3328,3328,1.33723773061515527e0
scirust,0.1.0,1,1000,23067,222097399,164377,222434120,222097.399,164.377,222434.120,1664,2560,2560,8.31540189637727693e-10
rustuna,0.1.0,1,1000,23067,166324562,1585260,169424377,166324.562,1585.260,169424.377,13568,15488,15488,1.29023396882270124e-08
rustuna,0.1.0,5,1000,23067,813791832,2169653,819719403,813791.832,2169.653,819719.403,13568,16256,16256,6.37358543074308254e-02
scirust,0.1.0,5,1000,23067,1072234210,198693,1072610429,1072234.210,198.693,1072610.429,1664,2944,2944,4.38409072488323281e-2
scirust,0.1.0,10,1000,23067,2138406044,226669,2138812649,2138406.044,226.669,2138812.649,1664,3328,3328,2.81281230980101515e0
rustuna,0.1.0,10,1000,23067,1568646371,2977353,1576999374,1568646.371,2977.353,1576999.374,13568,17408,17408,4.31672718709933001e+00
