engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
scirust,0.1.0,1,1000,23063,192220856,183527,192577048,192220.856,183.527,192577.048,1664,2560,2560,3.33972399234947232e-7
scirust,0.1.0,5,1000,23063,944548259,184540,944910674,944548.259,184.540,944910.674,1664,2944,2944,6.25484127192758588e-2
scirust,0.1.0,10,1000,23063,1905292586,263569,1905737251,1905292.586,263.569,1905737.251,1664,3328,3328,6.36649823059222242e-1
scirust,0.1.0,1,1000,23064,217513650,187017,217874010,217513.650,187.017,217874.010,1664,2560,2560,5.19462039072587976e-7
scirust,0.1.0,5,1000,23064,945704376,259608,946141944,945704.376,259.608,946141.944,1664,2944,2944,5.80340767935634688e-2
scirust,0.1.0,10,1000,23064,1949978916,30379064,1980547359,1949978.916,30379.064,1980547.359,1664,3328,3328,2.34958559537717271e0
scirust,0.1.0,1,1000,23065,191137968,160893,191469417,191137.968,160.893,191469.417,1664,2560,2560,1.58931497110345680e-8
scirust,0.1.0,5,1000,23065,981941464,192091,982311745,981941.464,192.091,982311.745,1664,2944,2944,3.68878798946022518e-2
scirust,0.1.0,10,1000,23065,1942829366,236031,1943247130,1942829.366,236.031,1943247.130,1664,3328,3328,4.62131147373417928e-1
scirust,0.1.0,1,1000,23066,197954161,167362,198294819,197954.161,167.362,198294.819,1664,2560,2560,3.99002858629785729e-7
scirust,0.1.0,5,1000,23066,947147738,15683397,963009293,947147.738,15683.397,963009.293,1664,2944,2944,3.78086796623756521e-2
scirust,0.1.0,10,1000,23066,1977595999,227361,1978006246,1977595.999,227.361,1978006.246,1664,3456,3456,1.33723773061515527e0
scirust,0.1.0,1,1000,23067,191783281,163162,192117752,191783.281,163.162,192117.752,1664,2560,2560,8.31540189637727693e-10
scirust,0.1.0,5,1000,23067,945847660,177548,946203431,945847.660,177.548,946203.431,1664,2944,2944,4.38409072488323281e-2
scirust,0.1.0,10,1000,23067,1922768036,222233,1923168191,1922768.036,222.233,1923168.191,1664,3328,3328,2.81281230980101515e0
