engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
scirust,0.1.0,1,1000,23063,201031472,180674,201384666,201031.472,180.674,201384.666,1664,2560,2560,3.33972399234947232e-7
scirust,0.1.0,5,1000,23063,998142649,240140,1002587426,998142.649,240.140,1002587.426,1664,2944,2944,6.25484127192758588e-2
scirust,0.1.0,10,1000,23063,2061208239,271352,2061680690,2061208.239,271.352,2061680.690,1664,3328,3328,6.36649823059222242e-1
scirust,0.1.0,1,1000,23064,202363747,166208,202702810,202363.747,166.208,202702.810,1664,2560,2560,5.19462039072587976e-7
scirust,0.1.0,5,1000,23064,1001700555,211630,1002094829,1001700.555,211.630,1002094.829,1664,2944,2944,5.80340767935634688e-2
scirust,0.1.0,10,1000,23064,1980896820,243147,1981327270,1980896.820,243.147,1981327.270,1664,3328,3328,2.34958559537717271e0
scirust,0.1.0,1,1000,23065,197446230,184707,197801479,197446.230,184.707,197801.479,1664,2560,2560,1.58931497110345680e-8
scirust,0.1.0,5,1000,23065,977653075,205998,978041197,977653.075,205.998,978041.197,1664,2944,2944,3.68878798946022518e-2
scirust,0.1.0,10,1000,23065,1988569916,281812,1989038409,1988569.916,281.812,1989038.409,1664,3328,3328,4.62131147373417928e-1
scirust,0.1.0,1,1000,23066,203070086,9125362,212367001,203070.086,9125.362,212367.001,1664,2560,2560,3.99002858629785729e-7
scirust,0.1.0,5,1000,23066,986440177,225776,986849971,986440.177,225.776,986849.971,1664,2944,2944,3.78086796623756521e-2
scirust,0.1.0,10,1000,23066,1973104769,229555,1973519616,1973104.769,229.555,1973519.616,1664,3328,3328,1.33723773061515527e0
scirust,0.1.0,1,1000,23067,200802010,179133,201152263,200802.010,179.133,201152.263,1664,2560,2560,8.31540189637727693e-10
scirust,0.1.0,5,1000,23067,987631018,207045,988019643,987631.018,207.045,988019.643,1664,2944,2944,4.38409072488323281e-2
scirust,0.1.0,10,1000,23067,1943957960,252582,1944423506,1943957.960,252.582,1944423.506,1664,3328,3328,2.81281230980101515e0
