engine,version,dims,trials,seed,proposal_ns,tell_ns,total_ns,proposal_ns_per_trial,tell_ns_per_trial,total_ns_per_trial,rss_start_kib,rss_end_kib,peak_rss_kib,best
scirust,0.1.0,1,100,23063,34267060,15012,34299488,342670.600,150.120,342994.880,1664,2176,2176,5.08691392237320849e-6
optuna,5.0.0,1,100,23063,79077125,5305317,84844818,790771.250,53053.170,848448.180,44048,45840,45840,6.55465956151919589e-06
rustuna,0.1.0,1,100,23063,3174154,153616,3481288,31741.540,1536.160,34812.880,13568,14464,14464,2.14087744583587724e-04
scirust,0.1.0,1,1000,23063,2224793422,205473,2225179536,2224793.422,205.473,2225179.536,1664,2432,2432,1.24947738207073103e-7
optuna,5.0.0,1,1000,23063,2993728190,81605864,3083806442,2993728.190,81605.864,3083806.442,44044,49652,50164,1.80188918454769574e-07
rustuna,0.1.0,1,1000,23063,162840022,1530916,165865698,162840.022,1530.916,165865.698,13568,15488,15488,5.42570671006284527e-08
scirust,0.1.0,5,100,23063,153901309,18634,153938581,1539013.090,186.340,1539385.810,1664,2304,2304,1.69722750906906117e0
optuna,5.0.0,5,100,23063,347907214,9747231,358503907,3479072.140,97472.310,3585039.070,44044,45964,45964,1.07664697895971706e+00
rustuna,0.1.0,5,100,23063,13143348,165938,13532862,131433.480,1659.380,135328.620,13568,14592,14592,6.35116603239888722e-01
scirust,0.1.0,5,1000,23063,10971897888,297933,10972389897,10971897.888,297.933,10972389.897,1664,2688,2688,1.87646862623620431e-1
optuna,5.0.0,5,1000,23063,15565183103,148633581,15728289065,15565183.103,148633.581,15728289.065,44048,50560,51144,2.41662034350676146e-02
rustuna,0.1.0,5,1000,23063,770743762,2228884,776450446,770743.762,2228.884,776450.446,13568,16256,16256,4.57620385782172082e-02
scirust,0.1.0,10,100,23063,305661277,16838,305696947,3056612.770,168.380,3056969.470,1664,2304,2304,1.03490332783465089e1
optuna,5.0.0,10,100,23063,662475613,16395966,680160704,6624756.130,163959.660,6801607.040,44048,46096,46096,1.13932361531142785e+01
rustuna,0.1.0,10,100,23063,25587869,185686,26086094,255878.690,1856.860,260860.940,13568,14720,14720,1.63558616570483082e+01
scirust,0.1.0,10,1000,23063,22133010789,374782,22133598184,22133010.789,374.782,22133598.184,1664,2944,2944,4.87164467666904244e0
optuna,5.0.0,10,1000,23063,33689710684,235572809,33947719689,33689710.684,235572.809,33947719.689,44044,52036,52532,1.85132043612493624e+00
rustuna,0.1.0,10,1000,23063,1585405080,3483234,1595421782,1585405.080,3483.234,1595421.782,13568,17408,17408,2.62496059293436401e+00
