RPM,SPEED,THROTTLE_POS,MAF,COOLANT_TEMP,INTAKE_TEMP,O2_B1S1,ENGINE_LOAD,INTAKE_PRESSURE,O2_B1S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,segment_id
1898,39,23.53,2.66,93,27,0.625,5.49,26,0.055,0,17.97,6
1571,21,37.65,16.08,93,27,0.625,43.14,89,0.055,-10.16,17.19,6
1681,37,24.71,3.49,93,27,0.625,7.059,36,0.055,29.69,19.53,6
2101,42,25.88,3.6,93,27,0.835,7.059,34,0.845,-0.7812,21.09,6
1653,33,22.35,2.28,93,27,0.835,5.882,28,0.845,0,17.97,6
1426,20,27.45,4.4,93,27,0.835,12.55,47,0.845,-9.375,21.88,6
1658,22,26.27,3.84,98,27,0.7,9.412,42,0.16,0,19.53,6
2326,31,36.86,12.61,98,27,0.7,21.57,76,0.16,2.344,8.594,6
2004,40,34.9,9.04,98,26,0.7,18.43,77,0.16,-1.562,7.812,6
1944,39,23.92,2.78,98,27,0.055,5.882,27,0.695,0,17.97,6
1088,14,23.53,2.69,98,27,0.055,9.804,42,0.695,-8.594,20.31,6
699,0,20,1.54,98,27,0.055,7.059,57,0.695,-1.562,19.53,6
2228,18,21.18,1.95,95,27,0.04,3.529,29,0.155,0,15.62,6
2736,37,39.61,16.78,95,26,0.04,23.53,83,0.155,6.25,-1.562,6
2518,51,41.57,19.8,95,26,0.04,30.98,88,0.155,4.688,-2.344,6
2186,62,40.39,16.17,95,26,0,30.2,90,0.035,3.906,-1.562,6
2364,67,34.9,9.98,95,26,0,16.86,69,0.035,0,9.375,6
2484,70,36.47,13.14,95,26,0,21.18,74,0.035,1.562,10.16,6
2513,71,32.16,7.43,99,27,0.125,11.37,50,0.625,4.688,9.375,6
2534,72,34.51,9.44,99,27,0.125,14.9,63,0.625,6.25,10.16,6
2549,72,33.33,8.38,99,27,0.125,12.94,53,0.625,-3.906,10.16,6
2614,74,32.16,7.14,99,27,0.13,10.98,51,0.625,-2.344,10.16,6
2596,73,34.12,9.26,99,27,0.13,14.12,54,0.625,-2.344,10.94,6
2517,71,25.88,3.71,99,27,0.13,5.882,25,0.625,0.7812,18.75,6
2343,67,30.2,5.79,97,27,0.705,9.804,41,0.67,-2.344,19.53,6
2128,60,24.31,2.96,97,27,0.705,5.49,25,0.67,29.69,19.53,6
2155,61,24.31,2.94,97,27,0.705,5.49,25,0.67,-3.125,18.75,6
2131,60,31.37,6.68,97,27,0.83,13.33,38,0.165,-1.562,17.97,6
2107,60,26.27,3.8,97,27,0.83,7.451,39,0.165,0,15.62,6
1915,56,21.96,2.21,97,27,0.83,4.706,25,0.165,0,18.75,6
1906,54,30.59,6.21,96,27,0,13.33,59,0,4.688,15.62,6
1935,55,27.45,4.35,96,27,0,9.412,42,0,0.7812,18.75,6
1979,56,26.67,3.96,96,27,0,7.843,39,0,4.688,20.31,6
2000,56,23.92,2.95,96,27,0.78,5.882,26,0.365,7.031,23.44,6
1867,53,23.53,2.74,96,27,0.78,5.882,28,0.365,0,17.97,6
1754,50,23.14,2.64,96,27,0.78,6.275,28,0.365,11.72,25,6
1835,52,30.98,6.13,97,27,0.365,13.73,62,0.1,7.031,10.16,6
1897,54,27.84,4.44,97,27,0.365,9.804,40,0.1,1.562,20.31,6
2125,60,45.49,19.17,97,26,0.365,37.25,98,0.1,-9.375,7.031,6
2036,57,24.31,3.01,97,27,0.755,6.275,27,0.79,29.69,19.53,6
1905,54,23.53,2.68,97,27,0.755,5.882,26,0.79,0,17.97,6
1861,53,23.53,2.71,97,27,0.755,5.882,27,0.79,0,19.53,6
1920,54,23.92,2.79,96,27,0.01,5.882,26,0.025,0.7812,25.78,6
1771,50,28.24,4.74,96,27,0.01,10.98,37,0.025,29.69,19.53,6
1598,45,38.04,10.83,96,27,0.01,27.84,89,0.025,-10.94,12.5,6
1688,48,30.2,5.61,96,26,0.145,13.73,62,0.775,0.7812,16.41,6
1689,48,28.24,4.62,96,26,0.145,11.37,53,0.775,2.344,16.41,6
1687,48,34.9,9.29,96,26,0.145,23.14,78,0.775,0,10.16,6
1718,49,25.49,3.52,96,27,0.27,8.627,36,0.635,-5.469,14.06,6
1627,46,27.45,4.18,96,27,0.27,10.59,42,0.635,-1.562,14.84,6
1632,46,40.39,13.3,96,26,0.27,33.73,96,0.635,-5.469,10.94,6
1669,47,20.39,1.67,96,26,0.1,3.922,28,0.69,0,18.75,6
1529,43,47.45,12.55,96,27,0.1,34.9,100,0.69,-10.94,10.16,6
1726,49,31.76,6.98,96,26,0.1,16.86,58,0.69,-0.7812,12.5,6
1892,54,34.9,8.61,98,26,0.09,18.82,80,0.71,0.7812,9.375,6
1951,55,29.8,5.6,98,26,0.09,11.76,44,0.71,4.688,13.28,6
1964,55,30.98,6.2,98,26,0.09,12.94,54,0.71,4.688,15.62,6
2137,60,42.75,16.75,98,26,0.095,32.16,95,0.635,-1.562,0,6
2420,68,37.25,13.67,98,26,0.095,22.75,76,0.635,5.469,0,6
2463,70,31.76,7.33,98,26,0.095,11.76,49,0.635,-3.125,10.94,6
2464,70,31.76,7.33,98,26,0.145,11.76,48,0.63,2.344,11.72,6
2409,68,33.33,8.32,98,26,0.145,13.73,39,0.63,29.69,16.41,6
2432,69,26.27,3.85,98,26,0.145,6.275,37,0.63,2.344,17.19,6
2409,68,29.02,4.93,98,26,0.065,8.235,41,0.235,-2.344,16.41,6
2420,68,29.41,5.35,98,26,0.065,8.627,43,0.235,0,16.41,6
2488,70,33.33,8.56,98,26,0.065,13.73,51,0.235,0,14.84,6
2580,73,35.29,10.86,96,26,0.455,16.47,67,0.685,2.344,8.594,6
2583,73,28.63,4.84,96,26,0.455,7.451,41,0.685,-13.28,17.19,6
2586,73,29.8,5.75,96,26,0.455,8.627,43,0.685,0.7812,15.62,6
2433,69,25.49,3.56,96,26,0.065,5.49,26,0.7,0,17.97,6
2114,60,24.31,3.1,96,27,0.065,5.882,26,0.7,0,17.97,6
1572,44,21.18,1.97,96,27,0.065,5.49,27,0.7,0,17.97,6
1894,38,42.75,15.12,96,26,0.83,33.33,95,0.065,-5.469,0,6
2536,51,39.22,16.45,96,26,0.83,25.49,82,0.065,2.344,1.562,6
2040,58,39.61,13.81,96,26,0.83,27.84,89,0.065,3.906,1.562,6
2036,58,23.53,2.67,96,26,0.125,5.098,25,0.725,0,17.97,6
1927,54,23.53,2.71,96,27,0.125,5.882,27,0.725,0,17.97,6
1142,28,22.75,2.38,96,27,0.125,8.235,43,0.725,-3.125,25,6
2787,38,38.43,15.09,97,26,0.065,20.78,80,0.14,3.906,1.562,6
2108,43,27.06,4.29,97,26,0.065,8.235,35,0.14,-6.25,16.41,6
2376,48,23.53,2.59,97,26,0.065,4.314,28,0.14,0,17.19,6
2502,50,37.25,13.57,97,26,0.015,21.96,75,0.015,-3.906,9.375,6
2043,58,57.65,21.46,97,26,0.015,43.14,100,0.015,0,1.562,6
2566,73,43.14,21.96,97,26,0.015,34.12,91,0.015,5.469,-3.906,6
2264,80,58.43,24.35,97,26,0.61,43.14,99,0.245,2.344,-3.125,6
2578,91,60,27.63,97,26,0.61,42.75,100,0.245,5.469,-3.125,6
2730,96,37.65,13.84,97,26,0.61,20,82,0.245,1.562,3.125,6
2792,99,37.65,13.05,97,26,0.61,18.04,79,0.205,6.25,4.688,6
